MovieID,MovieTitle,YearReleased,Genre,ContentRating,Director,RunningTime,Actor1,Actor2,Actor3,Actor4,AvgRating,UserID,FirstName,LastName,Email,UserRating,UserReview
20,Drug share half card small.,1976,sports,R,Roger Patterson,20:24:32,Mary Kramer,Tyler Hubbard,Autumn Rodriguez,Eddie Chapman,7.9,42,John,Holmes,richardsonemily@gmail.com,5.0,"['Opportunity second wall stay media.', 'Up art ball meeting I.', 'Number improve hand lay everyone.']"
42,Pay drop join suffer spend.,2008,sports,NC-17,Thomas Smith,03:51:56,Anthony Lee,Amy Harmon,Anna Smith,Rebecca Payne,9.9,40,Megan,Howell,popejamie@yahoo.com,1.1,"['Free away Mr painting.', 'However thousand trouble difficult still.', 'Huge item three build pass current whose.']"
15,Amount ability table.,1997,musical,PG,Craig Murray,14:10:23,Katherine Yates,Kayla Bond,Angela Porter,Rebecca Ruiz,4.2,38,Kathleen,Phelps,tyleryu@carey-delgado.com,3.6,"['Amount be everybody across property not almost.', 'Such traditional hour do.', 'Thought without present you stay million foot.']"
29,City whom decide arrive eat.,1980,sports,PG-13,Theodore Thompson,22:25:10,Jennifer Hall,Courtney Tran,Justin Parker,Ellen Villarreal MD,2.1,13,Emily,Garcia,matthewdiaz@miller-jackson.com,9.2,"['Program serve ground gun.', 'Serious discover minute enter real campaign him.', 'Cause democratic generation provide forget compare relationship.']"
45,Central plan main spring.,1970,crime,NC-17,Samantha Coleman,10:12:30,Randy Miller,Gerald Cherry MD,Robert Kim,Kyle Andrews,8.9,44,Jason,Jones,rubiojennifer@thomas-marshall.com,2.1,"['Wife choose yard news meet ago.', 'Feeling start clearly go marriage but specific nice.', 'Different measure century college.']"
33,Receive stuff nation age tax.,1985,comedy,R,Cody Williams,11:52:30,Dustin Hill,Cynthia Harris,Jared Maldonado,Nicholas Matthews,6.1,36,Tina,Mason,timothy75@gmail.com,9.1,"['Across should even sit within difficult season might.', 'Learn according machine tell quite there court.', 'Suggest add whom particular walk carry.']"
3,Approach say attack away.,1985,action,PG-13,Nicholas Walker,09:17:04,Kimberly Cooper,Kaitlyn Bryant,Angela Sandoval,Matthew Simpson,5.0,7,Scott,Werner,raymondrice@yahoo.com,4.0,"['Ahead these protect more.', 'Lot hair discussion capital popular me.', 'Office control land major baby fish.']"
16,Over pull record police.,2008,fantasy,G,Henry Williams,21:47:10,Jill King,Robert Newton,Angelica Stewart DDS,Samantha White,1.8,24,Teresa,Baker,greenejared@garcia.com,6.8,"['Reduce institution tonight image write soon general.', 'Sure season point claim seem.', 'Pretty stuff which reduce dog well.']"
29,Total subject return since.,2015,animation,PG-13,Timothy Williamson,17:44:30,Melissa Valdez,Jamie Perry,Todd Smith,Crystal Hernandez,1.6,50,Kyle,Hunt,lindabeard@tyler-miller.com,3.3,"['Rule program consider.', 'Discover investment like tax member.', 'Leader keep all success also opportunity rather.']"
20,New receive bank.,2017,horror,PG,Gabriel Collins,19:53:30,Lisa Torres,Joseph Smith,Tammy Marshall,Nina Rhodes,6.5,5,Scott,Adams,uthompson@jensen-hess.com,4.7,"['Same stand left economic.', 'Eat enter gas quite week agent.', 'Upon body should support plan.']"
1,Remain thus physical down.,2002,horror,PG-13,Felicia Holmes,06:21:50,Donald Allen,Donald Aguilar,Kimberly Johnson,Aaron Cannon,2.7,34,Martin,Miranda,kristi27@hotmail.com,4.7,"['Realize their management exactly.', 'Attention story community issue.', 'Student development from charge.']"
22,Fish like him smile meet.,2006,animation,R,Alexis Lawson,14:46:58,William Hall,Bradley Parks,Michael Stout,Anna Suarez,8.8,15,Amanda,Serrano,thuang@yahoo.com,4.4,"['Hotel professional true final carry develop.', 'Six mean seven during.', 'News stop no together ask water week.']"
2,Law measure positive leader.,2018,sports,PG-13,Brian Ortiz,21:51:49,Jason Willis,Amy Buck,Corey Sullivan,Luis Young,7.0,6,Amber,Perez,janetowen@yahoo.com,6.3,"['Deal hair offer city focus everything top.', 'Get activity everybody matter pressure.', 'Himself go rich including thing pretty movie.']"
42,Run write white similar.,2011,animation,PG-13,Samuel Anderson,08:32:35,Amber Brooks,Tracy Rivera,Jack Dunlap,Gregory Park,8.7,38,David,Little,qsmith@yahoo.com,8.0,"['Conference late five significant across increase capital.', 'Second front bit shake ball car.', 'Perhaps have drop.']"
30,Organization return second.,1983,action,PG-13,Ashley Bowman,17:38:29,Kristina Carr,Mary Kelley,Carrie Mcbride,Grace Alexander,3.1,38,Kristina,Fox,woodashley@gmail.com,3.7,"['Daughter too real possible look everything.', 'Necessary win first surface.', 'Seat step policy pull win.']"
7,At tonight pay.,2016,fantasy,PG,Bonnie Burns,23:56:23,Maria Dennis,David Norris,Olivia Fisher,Michael Gonzales,2.2,50,Dale,Norton,joshuaschroeder@hotmail.com,4.3,"['Avoid draw main likely central put Democrat tax.', 'Reason bit poor.', 'Doctor pick safe ability state read.']"
36,Full too could bar turn.,2003,action,NC-17,Michael Pearson,08:56:24,Daniel Allen,Andrew Harris,Susan Pace,Dennis Pollard,2.5,27,Alexis,Adkins,josephsparks@gmail.com,1.5,"['Little process drop population.', 'Skill billion who speech somebody project.', 'Week fact father.']"
33,True guy method.,1974,romance,PG,Travis Gonzalez,13:43:15,Barbara Brooks,James Santos,Christopher Martin,Michelle Jackson,9.3,46,Kathryn,Reed,ianberger@hughes-garrett.biz,3.8,"['White citizen always month upon.', 'Wide performance somebody training forget husband wife.', 'Behavior expect necessary next space.']"
30,Contain pattern allow look.,1980,fantasy,PG,Ashley Mcgee,21:12:43,Julia Calderon,Autumn Elliott,Bryan Mendoza,Madison Ashley,7.5,41,Chad,Turner,mathiselizabeth@hotmail.com,4.3,"['Each vote might raise environmental building.', 'Consider student against model would without old much.', 'Despite do term form there government.']"
19,Less tend town.,1996,fantasy,G,Christopher Davis,16:05:37,Mr. Alexander Lee,Jessica Brown,Laurie Richardson,Jackie Friedman,9.4,36,Nancy,Nash,davidsonmatthew@leonard-rogers.com,5.1,"['Democrat hundred play help.', 'Per research understand star.', 'Build stock light consider focus.']"
24,Cover bed everybody.,1975,horror,NC-17,Sara Gutierrez,03:19:26,Gary Wolf,Melissa Stewart,Dustin Bowers,Alyssa Orr,2.9,27,Jon,Villanueva,scole@yahoo.com,2.6,"['Must building town property exist pass.', 'Answer southern financial skin poor.', 'Teach company compare left arm.']"
44,Decision skin maintain.,1990,musical,R,Patricia Bond,19:41:15,Samantha Conrad,Jason Gonzales,Jenna Williams,Melvin Ryan,6.7,44,Crystal,Robinson,benjamin06@hotmail.com,2.2,"['Case well protect large himself.', 'Little these experience organization fire.', 'Movie upon fight group young.']"
50,Bag most director nor.,2000,sports,PG-13,Denise Barrett,20:19:56,Melissa Allen,Linda Adams,Nicole Sparks,Annette Bryant,1.3,9,Ashley,Doyle,jamesgarcia@baker.com,4.5,"['Fall visit color hope share property film into.', 'Bring quality fact common enter wait.', 'Office vote product recently strong.']"
29,By eye local lawyer.,1970,comedy,G,James Davis,16:05:43,Anthony Smith,Amanda Baker,Amanda Bennett,Mathew Clark,7.4,35,Christopher,Thomas,moniquefranklin@gmail.com,2.3,"['Leg idea although simple evening rule moment their.', 'During realize choice case professor.', 'Measure get certainly exist.']"
16,Unit prove reflect lose upon.,2016,animation,R,Zachary Ramos,10:55:26,Judith Chan,Christian Cantu,Mark Roberts,Grace Brennan,3.6,4,Christina,Hill,ukelly@pope.com,4.9,"['Point research space now ten.', 'Heavy task rise.', 'Hair attention food role stay live.']"
39,Ago although so.,1983,animation,G,Jacob Alvarez,14:43:57,Rebecca Walker,Diana Alexander,Dana Alexander,Kelly Reid,3.7,14,Guy,Mayo,robertsphilip@williams-rivera.info,6.8,"['About rest you find interest window wall.', 'Serious same develop each major attorney.', 'Order great purpose different.']"
27,Cut approach gas test.,2007,horror,PG-13,Hunter Williams,01:01:57,John Bradshaw,Mark Martin,Yolanda Stein,Michael Williams,1.0,16,Aaron,Parks,tyler37@wallace.com,8.1,"['Serious front method.', 'Throw some south recent.', 'Teach benefit itself.']"
35,Phone yes court threat.,1977,fantasy,PG,Daniel Johnson,19:36:21,Kevin Smith,Brian Evans,Leslie Wright,Daniel Anderson,1.9,23,Ashley,Tate,delgadotiffany@johnson-davis.com,8.9,"['Kind always last inside direction.', 'Win system there.', 'Property future deal one she seek.']"
45,Society best institution say.,2002,science fiction,PG-13,Gregory Bush,20:27:08,Nicholas Vargas,Robert Schmitt,Wanda Ortiz,David Mckinney,1.3,47,Sean,Rangel,heatherrussell@yahoo.com,5.0,"['This compare visit very issue foot.', 'Arm listen child what task.', 'Marriage put plan.']"
15,Send conference create win.,2010,animation,R,Rebecca Wood,06:14:38,Danny Johnson,Carmen Webster,Latasha Jennings,Heather Sutton,2.2,14,Christine,Jones,elizabeth06@hotmail.com,1.9,"['Possible rock either author according.', 'Financial economy fly successful.', 'Truth mother effect staff somebody.']"
47,Side on concern.,1976,science fiction,R,Joseph Bradley,07:05:47,Sandra Drake,Nancy White,Eric Nolan,Bradley Park,5.4,39,Kristen,White,marylucero@yahoo.com,3.0,"['Film country sign hot name old different.', 'Clear apply crime charge provide.', 'Model face part candidate claim left offer.']"
23,Two inside room.,1989,animation,PG,Dalton Pruitt,01:22:58,Carol Dunn,Evan Wallace,Jonathan Price,Joshua Peters,7.8,37,Cheryl,Martinez,sholmes@hotmail.com,2.2,"['Born lay world all audience everybody.', 'Require short campaign cover place.', 'When education compare nation their article subject.']"
30,Case hundred worry.,1989,comedy,PG-13,Stacey Payne,12:02:02,Monica Campos,James Diaz,Kayla Lee,Hannah Kelly,4.0,36,Lindsey,Parker,robinsontyler@hotmail.com,3.8,"['Manage will red ball never.', 'Star develop place sign message star.', 'Still foreign affect benefit reveal indeed toward truth.']"
38,Gas subject player site.,1985,comedy,G,Michaela Fox,10:41:12,Susan Sawyer,Randy Smith,Lisa Johnson,Thomas Lee,8.6,7,Kimberly,Torres,davidhampton@simmons.biz,4.3,"['Least across middle somebody policy.', 'Agency opportunity including light teacher include.', 'Drop west he education simply.']"
50,Very which financial story.,2021,romance,NC-17,Patricia Carr,16:11:32,Shannon Morris,Elizabeth Cox,Pamela Bryant,Michael Green,8.0,17,Thomas,Schaefer,xwilliams@hotmail.com,3.2,"['Doctor on how hotel.', 'Very pressure century idea deep.', 'Fight Mr manager leave current operation mention interesting.']"
49,Success front evidence.,2007,science fiction,PG-13,Kathy Wolf,11:35:27,Christopher Day,Jessica Rich,Robert Johnson,Benjamin Hernandez,8.1,25,Karen,Franklin,velasquezmark@cisneros.info,3.8,"['Practice federal pattern important young shoulder smile concern.', 'Wrong nature attack course serve wonder blue.', 'Design approach name environment network type.']"
24,Team drop job physical firm.,1990,musical,PG,Randy Olsen,07:03:07,Crystal Francis,Jonathan Holmes,Anthony Bryan,John Adams,2.3,40,Jasmin,Webster,kylesmith@ryan.net,5.6,"['Tend fill short ten soon city education.', 'Shake dream work simply daughter.', 'Republican question score that.']"
18,Create law human TV run.,1997,romance,R,Ruth Freeman,04:27:45,Katherine Gomez,Phillip Peters,Haley Olson,Karen Tran,8.5,43,Deborah,Taylor,bushwilliam@delacruz-buckley.com,1.4,"['Magazine animal approach quality finally difference front.', 'Return commercial event development.', 'Structure individual community behavior.']"
42,It modern born hot.,2008,action,NC-17,Morgan Drake,02:13:49,Connie Owen,Joseph Higgins,Shawn Cooke,Andrew Schwartz,9.6,16,Christina,Holland,kquinn@gmail.com,4.9,"['Could play song action line determine job.', 'Move view level show authority.', 'Year financial either professional.']"
30,Those tax sure item.,2020,sports,PG-13,Bill Jimenez,18:07:03,Eric Lee,Stephen Mcdonald,Kimberly Brown,Cheryl Burgess,6.6,45,Amber,Moore,alicianorris@hotmail.com,7.4,"['Everybody seat cold within bank.', 'Computer performance shoulder let lose Congress camera.', 'Military must building pass hard treat.']"
